"","deploymentID","locationID","locationName","latitude","longitude","coordinateUncertainty","deploymentStart","deploymentEnd","setupBy","cameraID","cameraModel","cameraDelay","cameraHeight","cameraDepth","cameraTilt","cameraHeading","detectionDistance","timestampIssues","baitUse","featureType","habitat","deploymentGroups","deploymentTags","deploymentComments","days"
"1","003c9299-5d3c-483d-b403-8986e0d1410a","c284d9ab-d6bb-4014-85d7-d27e2f6ffabd","SK05",53.0576192866,5.8614913769,NA,2023-05-02 09:00:00,2023-05-13 18:57:29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",11.4149189814815
"2","033c6f2f-58dd-4626-bdc2-c7ff32296148","f7c7435e-3dbc-4c42-ad42-0dafb219418e","SK03",53.0599489211,5.863008639,NA,2023-05-13 12:31:03,2023-05-29 05:38:31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",15.7135185185185
"3","06455072-5f1c-4f63-9827-9f202136f325","d3b636b4-a64d-4625-99d1-8a0304ed7814","SK09",53.0621554297,5.8658282814,NA,2023-03-26 08:50:33,2023-04-25 17:53:26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",30.3770023148148
"4","08f1eae6-97df-4e11-af6d-94054d6fe09c","2f0a36b9-746c-4e44-b1bc-e6f7353630ea","SK24",53.0559152384,5.8701167222,NA,2023-03-26 11:56:59,2023-04-17 10:10:35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",21.9261111111111
"5","0954cf89-af8f-46cb-bc37-4419e0907218","ba1405c0-0512-4de7-ab4e-b01015519aa0","SK20",53.0629262272,5.8812075043,NA,2023-05-22 16:59:29,2023-05-23 14:00:18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.87556712962963
"6","097036db-6d8b-4b09-b240-c7d965ade8c4","b18237ea-1ede-41af-985f-10750305172f","SK01",53.0602088711,5.8608618231,NA,2023-05-20 19:09:52,2023-05-24 16:41:55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3.89725694444444
"7","097d1ca8-4d84-491c-8dce-dd678cb58d23","5ddd7685-5a4f-4d14-afe7-c9cc016d8c75","SK06",53.0668117152,5.8670454133,NA,2023-05-22 13:54:47,2023-05-30 06:42:47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",7.7
"8","09b362ee-fe7d-4dac-975f-94516e5ef98f","b4f615ea-6843-46ba-8863-732585dc3b26","SK04",53.0598376908,5.8668709353,NA,2023-05-26 05:38:44,2023-06-03 14:41:45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",8.37709490740741
"9","09b57639-21fd-40c8-8b70-1208cabca6aa","01f3b90a-160f-4650-9e1b-a60defd778e5","SK02",53.0613523348,5.8643316686,NA,2023-06-02 12:36:55,2023-06-03 12:04:56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.977789351851852
"10","0a3cd902-2c43-466c-9dff-e5878abac473","5ddd7685-5a4f-4d14-afe7-c9cc016d8c75","SK06",53.0668117152,5.8670454133,NA,2023-05-16 12:37:34,2023-05-17 13:47:35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1.04862268518519
"11","0a618924-022c-42c1-a678-3f15a5df17d0","697e5d53-e5d7-4c93-85d2-74324421b87b","SK21",53.0585132784,5.8664025732,NA,2023-03-26 11:37:44,2023-04-06 14:35:28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",11.1234259259259
"12","0a7d1531-811b-4db6-a347-5351b03230d4","b18237ea-1ede-41af-985f-10750305172f","SK01",53.0602088711,5.8608618231,NA,2023-03-26 08:37:31,2023-04-17 15:39:57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",22.2933564814815
"13","0a98bee5-b822-40bd-bc8d-fce6161b8761","21c176f0-5c95-4c89-b23c-03035c878a99","SK11",53.063155043,5.8702661041,NA,2023-06-07 07:45:13,2023-06-07 12:56:41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.216296296296296
